,bitcoinClose,ethereumClose,xrpClose,litecoinClose,tetherClose,date
0,11865.7,433.35,0.299661,59.93,1.0,2020-08-15
1,11768.87,437.4,0.300371,56.75,1.0,2020-08-14
2,11784.14,428.74,0.29780700000000004,57.74,1.02,2020-08-13
3,11584.93,391.02,0.28493,54.97,1.01,2020-08-12
4,11410.53,380.38,0.28444899999999995,54.39,1.0,2020-08-11
5,11878.11,395.89,0.294659,58.29,1.0,2020-08-10
6,11675.74,391.12,0.288653,57.14,1.0,2020-08-09
7,11754.05,393.99,0.294022,58.13,1.0,2020-08-08
8,11601.47,379.51,0.294664,57.25,1.0,2020-08-07
9,11779.77,394.96,0.303584,59.16,1.0,2020-08-06
10,11747.02,401.59,0.303311,59.01,1.0,2020-08-05
11,11205.89,389.88,0.300493,57.53,1.0,2020-08-04
12,11246.35,386.3,0.30994,58.47,1.0,2020-08-03
13,11053.61,370.67,0.287062,56.64,0.997851,2020-08-02
14,11759.59,385.2,0.289529,61.29,0.9970129999999999,2020-08-01
15,11323.47,345.55,0.258904,58.0,1.0,2020-07-31
16,11111.21,334.59,0.244522,56.64,1.0,2020-07-30
17,11100.47,318.19,0.24309899999999998,55.17,1.0,2020-07-29
18,10912.82,316.66,0.230277,55.58,1.0,2020-07-28
19,10990.87,321.51,0.22367199999999998,52.95,1.0,2020-07-27
20,9905.17,309.64,0.214982,47.98,0.998871,2020-07-26
21,9677.11,304.06,0.214102,48.8,0.9980620000000001,2020-07-25
22,9536.89,279.22,0.204049,44.18,0.998993,2020-07-24
23,9581.07,274.69,0.207578,44.85,0.998186,2020-07-23
24,9525.36,262.19,0.203342,44.94,1.0,2020-07-22
25,9374.89,245.02,0.198988,43.62,0.9988940000000001,2020-07-21
26,9164.23,236.15,0.19506500000000002,41.98,1.0,2020-07-20
27,9185.82,238.49,0.19913499999999998,42.55,0.998352,2020-07-19
28,9159.04,235.48,0.19934100000000002,42.43,0.9987950000000001,2020-07-18
29,9151.39,232.77,0.19428099999999998,41.91,0.999616,2020-07-17
30,9132.23,233.64,0.194048,42.04,0.99998,2020-07-16
31,9192.84,238.42,0.19711099999999998,43.28,0.999444,2020-07-15
32,9243.21,240.21,0.19880899999999999,43.8,0.9990459999999999,2020-07-14
33,9243.61,239.6,0.198575,43.92,0.999552,2020-07-13
34,9276.5,242.13,0.20053800000000002,44.64,0.998634,2020-07-12
35,9240.35,239.46,0.20119700000000001,44.68,1.0,2020-07-11
36,9278.81,240.98,0.198652,44.25,0.999986,2020-07-10
37,9277.97,243.02,0.20290999999999998,44.54,1.0,2020-07-09
38,9428.33,246.67,0.204692,45.2,0.9998600000000001,2020-07-08
39,9252.28,239.08,0.18478699999999998,43.32,0.999207,2020-07-07
40,9375.47,241.51,0.188567,43.96,1.0,2020-07-06
41,9073.94,227.66,0.177017,41.6,0.998899,2020-07-05
42,9132.49,229.07,0.177984,42.07,1.0,2020-07-04
43,9087.3,225.39,0.176336,41.21,0.9995209999999999,2020-07-03
44,9123.41,229.39,0.177244,41.49,1.02,2020-07-02
45,9228.33,231.11,0.176976,41.7,1.0,2020-07-01
46,9137.99,226.31,0.17587,41.47,0.9999040000000001,2020-06-30
47,9190.85,228.19,0.17795899999999998,41.85,1.0,2020-06-29
48,9143.58,225.35,0.17769200000000002,41.41,1.0,2020-06-28
49,9045.39,222.96,0.176851,41.56,1.0,2020-06-27
50,9162.92,229.67,0.182671,43.32,0.998956,2020-06-26
51,9264.81,232.94,0.18357,42.56,1.0,2020-06-25
52,9313.61,235.77,0.184272,42.84,1.0,2020-06-24
53,9629.66,244.14,0.18868,44.18,1.0,2020-06-23
54,9648.72,242.53,0.189272,44.19,0.997925,2020-06-22
55,9303.63,228.99,0.18561,43.09,1.0,2020-06-21
56,9332.34,229.27,0.1885,43.35,0.998884,2020-06-20
57,9288.02,227.14,0.18679,42.68,0.9938290000000001,2020-06-19
58,9411.84,232.1,0.190957,43.56,1.0,2020-06-18
59,9480.26,233.03,0.193443,44.03,1.0,2020-06-17
60,9538.02,234.42,0.191307,43.88,1.0,2020-06-16
61,9450.7,229.93,0.193074,43.91,1.0,2020-06-15
62,9386.79,234.11,0.191617,44.08,1.01,2020-06-14
63,9475.28,238.91,0.193106,45.09,1.0,2020-06-13
64,9480.84,237.49,0.193943,44.83,1.0,2020-06-12
65,9321.78,231.7,0.19018,43.51,1.0,2020-06-11
66,9870.09,247.44,0.202938,46.68,1.0,2020-06-10
67,9795.7,244.91,0.202013,46.07,1.0,2020-06-09
68,9771.49,246.31,0.203771,46.47,1.0,2020-06-08
69,9758.85,245.17,0.203449,46.67,1.0,2020-06-07
70,9653.68,241.93,0.20314200000000002,46.73,0.999303,2020-06-06
71,9665.53,241.22,0.204092,47.05,1.0,2020-06-05
72,9800.64,244.43,0.20498200000000003,47.64,1.0,2020-06-04
73,9656.72,244.18,0.203663,47.17,1.0,2020-06-03
74,9529.8,237.22,0.202764,45.92,0.997524,2020-06-02
75,10167.27,246.99,0.210249,48.13,1.0,2020-06-01
76,9461.06,230.98,0.202906,45.59,0.998033,2020-05-31
77,9700.41,242.35,0.20622,47.54,1.0,2020-05-30
78,9439.12,220.68,0.198348,44.65,1.0,2020-05-29
79,9525.75,219.84,0.200595,44.76,1.0,2020-05-28
80,9181.02,208.86,0.197857,43.86,1.0,2020-05-27
81,8835.05,201.9,0.193975,42.43,0.998008,2020-05-26
82,8906.93,205.32,0.197327,42.95,1.0,2020-05-25
83,8790.37,202.37,0.195431,42.45,1.0,2020-05-24
84,9209.29,208.69,0.198856,44.03,1.01,2020-05-23
85,9182.58,207.17,0.200343,44.21,1.0,2020-05-22
86,9081.76,199.88,0.195509,42.74,1.0,2020-05-21
87,9522.98,210.1,0.201707,44.17,0.998948,2020-05-20
88,9729.04,213.45,0.204028,45.38,0.9960190000000001,2020-05-19
89,9726.57,214.53,0.20517600000000003,45.2,1.0,2020-05-18
90,9670.74,207.16,0.201255,43.64,1.0,2020-05-17
91,9377.01,200.68,0.200032,43.21,1.0,2020-05-16
92,9328.2,195.62,0.19891099999999998,42.83,1.0,2020-05-15
93,9733.72,202.95,0.203129,43.95,0.9988600000000001,2020-05-14
94,9269.99,199.19,0.20148,43.13,1.0,2020-05-13
95,8804.48,189.31,0.19763699999999998,42.11,1.0,2020-05-12
96,8601.8,185.91,0.19406400000000001,41.7,0.9983639999999999,2020-05-11
97,8756.43,188.6,0.198176,42.37,1.0,2020-05-10
98,9593.9,211.6,0.216902,47.27,1.0,2020-05-09
99,9842.67,212.99,0.219827,47.88,1.0,2020-05-08
100,9951.52,212.29,0.218917,47.33,1.0,2020-05-07
101,9268.76,204.06,0.21520999999999998,45.94,1.02,2020-05-06
102,9003.07,206.77,0.21646300000000002,46.79,1.0,2020-05-05
103,8912.65,208.17,0.21896300000000002,47.47,1.01,2020-05-04
104,8897.47,210.93,0.219414,48.27,1.0,2020-05-03
105,8988.6,215.33,0.22391399999999997,49.46,1.0,2020-05-02
106,8864.77,214.22,0.219248,47.79,1.01,2020-05-01
107,8658.55,207.6,0.212761,46.71,1.01,2020-04-30
108,8801.04,216.97,0.22743200000000002,49.18,1.01,2020-04-29
109,7807.06,198.42,0.215484,46.03,1.01,2020-04-28
110,7795.6,197.22,0.197978,44.71,1.0,2020-04-27
111,7679.87,197.32,0.196805,44.69,1.0,2020-04-26
112,7569.94,195.52,0.195054,44.71,1.0,2020-04-25
113,7550.9,189.24,0.193665,44.81,1.01,2020-04-24
114,7429.72,185.03,0.191711,42.94,0.997692,2020-04-23
115,7117.21,182.6,0.18797,41.89,1.0,2020-04-22
116,6880.32,172.74,0.184328,41.04,1.01,2020-04-21
117,6881.96,172.3,0.18349000000000001,40.83,1.0,2020-04-20
